,Rank,Step,Value,Metric,Type,Agent
1547,0,4300,0.92626953125,Accuracy,Reconstruction,C
1551,0,4350,0.929443359375,Accuracy,Reconstruction,C
1555,0,4400,0.9306640625,Accuracy,Reconstruction,C
1559,0,4450,0.9267578125,Accuracy,Reconstruction,C
1563,0,4500,0.931396484375,Accuracy,Reconstruction,C
1567,0,4550,0.927490234375,Accuracy,Reconstruction,C
1571,0,4600,0.9287109375,Accuracy,Reconstruction,C
1575,0,4650,0.93408203125,Accuracy,Reconstruction,C
1579,0,4700,0.93017578125,Accuracy,Reconstruction,C
1583,0,4750,0.931884765625,Accuracy,Reconstruction,C
1587,0,4800,0.9306640625,Accuracy,Reconstruction,C
1591,0,4850,0.93310546875,Accuracy,Reconstruction,C
1595,0,4900,0.932373046875,Accuracy,Reconstruction,C
1599,0,4950,0.93408203125,Accuracy,Reconstruction,C
1603,2,0,0.150146484375,Accuracy,Reconstruction,baseline
1607,2,50,0.73681640625,Accuracy,Reconstruction,baseline
1611,2,100,0.85498046875,Accuracy,Reconstruction,baseline
1615,2,150,0.88623046875,Accuracy,Reconstruction,baseline
1619,2,200,0.8994140625,Accuracy,Reconstruction,baseline
1623,2,250,0.917236328125,Accuracy,Reconstruction,baseline
1627,2,300,0.921875,Accuracy,Reconstruction,baseline
1631,2,350,0.928955078125,Accuracy,Reconstruction,baseline
1635,2,400,0.936767578125,Accuracy,Reconstruction,baseline
1639,2,450,0.93701171875,Accuracy,Reconstruction,baseline
1643,2,500,0.949951171875,Accuracy,Reconstruction,baseline
1647,2,550,0.947021484375,Accuracy,Reconstruction,baseline
1651,2,600,0.949462890625,Accuracy,Reconstruction,baseline
1655,2,650,0.958740234375,Accuracy,Reconstruction,baseline
1659,2,700,0.949462890625,Accuracy,Reconstruction,baseline
1663,2,750,0.958740234375,Accuracy,Reconstruction,baseline
1667,2,800,0.9599609375,Accuracy,Reconstruction,baseline
1671,2,850,0.9599609375,Accuracy,Reconstruction,baseline
1675,2,900,0.95849609375,Accuracy,Reconstruction,baseline
1679,2,950,0.95947265625,Accuracy,Reconstruction,baseline
1683,2,1000,0.965576171875,Accuracy,Reconstruction,baseline
1687,2,1050,0.969482421875,Accuracy,Reconstruction,baseline
1691,2,1100,0.96435546875,Accuracy,Reconstruction,baseline
1695,2,1150,0.96826171875,Accuracy,Reconstruction,baseline
1699,2,1200,0.963623046875,Accuracy,Reconstruction,baseline
1703,2,1250,0.966552734375,Accuracy,Reconstruction,baseline
1707,2,1300,0.969970703125,Accuracy,Reconstruction,baseline
1711,2,1350,0.966796875,Accuracy,Reconstruction,baseline
1715,2,1400,0.96728515625,Accuracy,Reconstruction,baseline
1719,2,1450,0.9716796875,Accuracy,Reconstruction,baseline
1723,2,1500,0.973388671875,Accuracy,Reconstruction,baseline
1727,2,1550,0.972900390625,Accuracy,Reconstruction,baseline
1731,2,1600,0.970458984375,Accuracy,Reconstruction,baseline
1735,2,1650,0.968017578125,Accuracy,Reconstruction,baseline
1739,2,1700,0.971923828125,Accuracy,Reconstruction,baseline
1743,2,1750,0.972412109375,Accuracy,Reconstruction,baseline
1747,2,1800,0.97314453125,Accuracy,Reconstruction,baseline
1751,2,1850,0.97021484375,Accuracy,Reconstruction,baseline
1755,2,1900,0.97314453125,Accuracy,Reconstruction,baseline
1759,2,1950,0.9736328125,Accuracy,Reconstruction,baseline
1763,2,2000,0.97314453125,Accuracy,Reconstruction,baseline
1767,2,2050,0.973388671875,Accuracy,Reconstruction,baseline
1771,2,2100,0.974853515625,Accuracy,Reconstruction,baseline
1775,2,2150,0.97705078125,Accuracy,Reconstruction,baseline
1779,2,2200,0.976806640625,Accuracy,Reconstruction,baseline
1783,2,2250,0.97509765625,Accuracy,Reconstruction,baseline
1787,2,2300,0.974853515625,Accuracy,Reconstruction,baseline
1791,2,2350,0.974365234375,Accuracy,Reconstruction,baseline
1795,2,2400,0.978271484375,Accuracy,Reconstruction,baseline
1799,2,2450,0.974365234375,Accuracy,Reconstruction,baseline
1803,2,2500,0.9736328125,Accuracy,Reconstruction,baseline
1807,2,2550,0.97607421875,Accuracy,Reconstruction,baseline
1811,2,2600,0.97314453125,Accuracy,Reconstruction,baseline
1815,2,2650,0.976806640625,Accuracy,Reconstruction,baseline
1819,2,2700,0.977294921875,Accuracy,Reconstruction,baseline
1823,2,2750,0.973876953125,Accuracy,Reconstruction,baseline
1827,2,2800,0.980224609375,Accuracy,Reconstruction,baseline
1831,2,2850,0.97509765625,Accuracy,Reconstruction,baseline
1835,2,2900,0.980224609375,Accuracy,Reconstruction,baseline
1839,2,2950,0.9814453125,Accuracy,Reconstruction,baseline
1843,2,3000,0.980712890625,Accuracy,Reconstruction,baseline
1847,2,3050,0.97802734375,Accuracy,Reconstruction,baseline
1851,2,3100,0.9755859375,Accuracy,Reconstruction,baseline
1855,2,3150,0.980712890625,Accuracy,Reconstruction,baseline
